# TIMESTAMP, CAN_ID, DATA_BYTES
  0.0595, 041, 00 00 00 00 00 00 00 00
  0.0597, 085, 7E B9 00 00 FC 60 7E 48
  0.0597, 3A3, 80 00 00 00 00 00 00 00
  0.0597, 41D, 00 00 E0 00 00 00 00 00
  0.0615, 186, 14 04 02 26 81 F7 00 00
  0.0658, 204, C0 00 7D 00 00 00 00 00
  0.0658, 167, 00 80 00 00 00 1A 7F 00
  0.0659, 171, A5 00 A0 00 00 00 00 00
  0.0659, 42F, 00 00 00 00 00 00 00 00
  0.0744, 4B0, C9 00 00 00 30 00 00 FC
  0.0753, 077, 00 00 07 FF 00 07 E9 F9
  0.0762, 07D, 00 00 FC 30 00 1F E8 06
  0.0807, 213, FF FF 00 0C 01 11 FF 41
  0.0808, 082, 84 00 14 40 7B 00 60 FF
  0.0808, 091, 7F 0F 7F 3F 9C 11 F0 00
  0.0808, 085, 7E B9 00 00 FB 70 7E 48
  0.0808, 214, 6F 66 00 00 00 00 27 30
  0.0808, 216, 96 E0 55 E5 AA 00 00 00
  0.0808, 217, 00 00 00 00 00 00 00 00
  0.0830, 263, D0 00 FF FD 01 E8 00 00
  0.0831, 37B, 00 00 00 00 00 00 00 00
  0.0831, 430, 07 02 F3 09 8C 01 37 91
  0.0861, 165, 10 C0 00 00 00 00 00 00
  0.0861, 047, 04 F0 ED F5 64 AF 00 00
  0.0918, 167, 00 80 00 00 00 1A 7F 00
  0.0934, 200, 00 00 80 1A 80 1A 00 00
  0.0935, 202, 04 F3 48 00 60 00 00 00
  0.0935, 204, C0 00 7D 00 00 00 00 00
  0.0935, 230, 00 00 00 00 8A 00 00 00
  0.0944, 217, 00 00 00 00 00 00 00 00
  0.0944, 415, 00 00 D0 F8 8F FE 0F FE
  0.1008, 041, 00 00 00 00 00 00 00 00
  0.1008, 083, 00 E0 80 00 00 02 00 00
  0.1008, 085, 7E B9 00 00 FA 80 7E 48
  0.1008, 242, 02 8B 1F 7E C3 00 00 01
  0.1009, 38D, 11 00 00 00 00 00 08 F0
  0.1009, 3B1, 08 00 00 00 00 00 00 00
  0.1009, 3B6, 08 00 00 00 46 1C 50 22
  0.1009, 3B7, 00 00 01 00 6C 6D 6C 7C
  0.1009, 3B8, FF FF FF FF 00 00 00 00
  0.1009, 3B9, FF 00 00 00 00 00 00 00
  0.1009, 3BA, 00 00 00 00 00 00 00 00
  0.1009, 186, 14 04 02 26 81 F7 00 00
  0.1010, 3E3, 00 02 04 06 80 00 00 00
  0.1276, 3EB, BA 14 14 07 01 1A 02 40
  0.1276, 40A, C1 04 01 63 09 33 86 81
  0.1277, 41D, 00 00 E0 00 00 00 00 00
  0.1277, 3D4, FF C1 FE FF DF E0 00 00
  0.1277, 42B, CB BE 80 00 00 00 00 00
  0.1277, 42C, 80 02 00 00 90 20 00 00
  0.1278, 468, 00 00 00 00 00 00 00 00
  0.1293, 469, 00 00 00 00 00 00 00 00
  0.1320, 204, C0 00 7D 00 00 00 00 00
  0.1320, 167, 00 80 00 00 00 1A 7F 00
  0.1320, 43D, 10 00 00 00 00 00 00 00
  0.1320, 43E, 00 37 10 8C 91 40 48 00
  0.1434, 4B0, C9 00 00 00 40 00 00 FB
  0.1434, 077, 00 00 08 02 00 07 E9 F9
  0.1440, 07D, 00 00 FB 40 00 1F D8 03
  0.1441, 213, FF FF 00 0C 01 11 FF 41
  0.1442, 082, 84 00 14 40 7B 00 60 FF
  0.1442, 085, 7E B9 00 00 F9 90 7E 48
  0.1442, 214, 6F 66 00 00 00 00 26 40
  0.1442, 216, 96 E0 55 E5 AA 00 00 00
  0.1443, 217, 00 00 00 00 00 00 00 00
  0.1443, 416, 54 00 FA 04 00 00 0F FF
  0.1444, 091, 7F 01 7F 55 8A 1B F0 00
  0.1458, 165, 10 C0 00 00 00 00 00 00
  0.1458, 047, 04 F0 ED F5 64 AF 00 00
  0.1458, 167, 00 80 00 00 00 1A 7F 00
  0.1458, 171, A5 00 A0 00 00 00 00 00
  0.1458, 200, 00 00 80 1A 80 1A 00 00
  0.1459, 202, 04 F1 58 00 60 00 00 00
  0.1459, 204, C0 00 7D 00 00 00 00 00
  0.1459, 230, 00 00 00 00 8A 00 00 00
  0.1459, 42F, 00 00 00 00 00 00 00 00
  0.1459, 217, 00 00 00 00 00 00 00 00
  0.1459, 041, 00 00 00 00 00 00 00 00
  0.1459, 085, 7E B9 00 00 F8 A0 7E 48
  0.1459, 415, 00 00 D4 F7 8F FE 0F FE
  0.1480, 41D, 00 00 E0 00 00 00 00 00
  0.1520, 186, 14 04 02 26 81 F7 00 00
  0.1520, 204, C0 00 7D 00 00 00 00 00
  0.1520, 167, 00 80 00 00 00 1A 7F 00
  0.1586, 4B0, C9 00 00 00 50 00 00 FA
  0.1586, 04A, 02 00 00 00 00 00 00 C0
  0.1586, 04B, 00 C0 D8 D8 D8 D8 D8 00
  0.1586, 077, 00 00 08 00 00 07 E9 F9
  0.1587, 07D, 00 00 FA 50 00 1F E8 00
  0.1587, 092, 6F 8E 6F 80 73 53 44 20
  0.1587, 082, 84 00 14 40 7B 00 60 FF
  0.1587, 085, 7E B9 00 00 F7 B0 7E 48
  0.1587, 213, FF FF 00 0C 01 11 FF 41
  0.1587, 214, 6F 66 00 00 00 00 25 50
  0.1587, 216, 96 E0 55 E5 AA 00 00 00
  0.1588, 217, 00 00 00 00 00 00 00 00
  0.1588, 3D4, FF C1 FE FF DF E0 00 00
  0.1611, 59E, 9E 00 FF FF FF FF FF FF
  0.1611, 165, 10 C0 00 00 00 00 00 00
  0.1648, 047, 04 F0 ED F5 64 AF 00 00
  0.1649, 167, 00 80 00 00 00 1A 7F 00
  0.1649, 200, 00 00 80 1A 80 1A 00 00
  0.1649, 202, 04 EF 68 00 60 00 00 00
  0.1649, 204, C0 00 7D 00 00 00 00 00
  0.1649, 230, 00 00 00 00 8A 00 00 00
  0.1649, 217, 00 00 00 00 00 00 00 00
  0.1649, 415, 00 00 D8 F6 8F FE 0F FE
  0.1649, 041, 00 00 00 00 00 00 00 00
  0.1776, 085, 7E B9 00 00 F6 C0 7E 48
  0.1777, 242, 02 8B 1F 77 C3 00 00 01
  0.1777, 3A3, 80 00 00 00 00 00 00 00
  0.1777, 41D, 00 00 E0 00 00 00 00 00
  0.1778, 091, 7E F1 7F 43 9E 2A F0 00
  0.1778, 186, 14 04 02 26 81 F7 00 00
  0.1778, 204, C0 00 7D 00 00 00 00 00
  0.1778, 167, 00 80 00 00 00 1A 7F 00
  0.1778, 171, A5 00 A0 00 00 00 00 00
  0.1779, 42F, 00 00 00 00 00 00 00 00
  0.1780, 4B0, C9 00 00 00 60 00 00 F9
  0.1781, 077, 00 00 07 FF 00 07 E9 FA
  0.1781, 3B4, 40 11 11 FF 37 37 00 00
  0.1781, 07D, 00 00 F9 60 00 1F F7 FD
  0.1781, 3EB, BA 14 14 07 02 1A 02 40
  0.1781, 42C, 80 02 00 00 90 20 00 00
  0.1781, 213, FF FF 00 0C 01 11 FF 41
  0.1782, 082, 84 00 14 40 7B 00 60 FF
  0.1782, 085, 7E B9 00 00 F5 D0 7E 48
  0.1782, 214, 6F 66 00 00 00 00 24 60
  0.1782, 216, 96 E0 55 E5 AA 00 00 00
  0.1782, 217, 00 00 00 00 00 00 00 00
  0.1782, 3E2, 00 00 00 00 80 00 00 00
  0.1782, 3EA, 00 00 00 00 00 00 60 00
  0.1783, 455, 00 00 00 00 00 00 00 00
  0.1783, 165, 10 C0 00 00 00 00 00 00
  0.1833, 047, 04 F0 ED F5 64 AF 00 00
  0.1834, 156, 91 00 00 00 03 00 00 00
  0.1834, 166, 7D 00 00 02 80 00 00 00
  0.1834, 167, 00 80 00 00 00 1A 7F 00
  0.1834, 178, 00 00 02 00 0E 8A CA 8A
  0.1834, 179, 00 00 00 00 5C A3 03 C4
  0.1835, 200, 00 00 80 1A 80 1A 00 00
  0.1835, 202, 04 ED 78 00 60 00 00 00
  0.1835, 204, C0 00 7D 00 00 00 00 00
  0.1835, 230, 00 00 00 00 8A 00 00 00
  0.1835, 415, 00 00 DC F5 8F FE 0F FE
  0.1835, 421, 04 00 14 00 00 00 61 00
  0.1835, 041, 00 00 00 00 00 00 00 00
  0.1924, 085, 7E B9 00 00 F4 E0 7E 48
  0.1926, 3B5, 01 6E 01 6C 01 67 01 6F
  0.1926, 217, 00 00 00 00 00 00 00 00
  0.1927, 424, 00 00 00 01 00 00 00 00
