# TIMESTAMP, CAN_ID, DATA_BYTES
  0.0491, 091, 7E FE 7F 4D B2 FF F0 00
  0.0595, 165, 10 C0 00 00 00 00 00 00
  0.0595, 047, 04 F0 ED F5 64 AF 00 00
  0.0595, 156, 91 00 00 00 03 00 00 00
  0.0595, 166, 7D 00 00 02 80 00 00 00
  0.0596, 167, 00 80 00 00 00 1A 7F 00
  0.0596, 171, A5 00 A0 00 00 00 00 00
  0.0596, 178, 00 00 02 00 0E 8A CA 8A
  0.0596, 085, 7E B8 00 00 FF 40 7E 48
  0.0596, 179, 00 00 00 00 5C A3 03 C4
  0.0596, 200, 00 00 80 1A 80 1A 00 00
  0.0596, 202, 04 F7 28 00 60 00 00 00
  0.0597, 204, C0 00 7D 00 00 00 00 00
  0.0597, 217, 00 00 00 00 00 00 00 00
  0.0597, 230, 00 00 00 00 8B 00 00 00
  0.0597, 041, 00 00 00 00 00 00 00 00
  0.0608, 186, 14 04 02 26 81 F7 00 00
  0.0608, 242, 02 77 1F 75 C3 00 00 01
  0.0608, 415, 00 00 C8 FA 8F FE 0F FE
  0.0609, 41D, 00 00 E0 00 00 00 00 00
  0.0629, 421, 04 00 14 00 00 00 60 00
  0.0629, 424, 00 00 00 01 00 00 00 00
  0.0651, 42D, 00 02 EB 00 00 00 20 00
  0.0651, 42F, 00 00 00 00 00 00 00 00
  0.0651, 43D, 10 00 00 00 00 00 00 00
  0.0739, 43E, 00 37 10 8C 91 40 48 00
  0.0741, 204, C0 00 7D 00 00 00 00 00
  0.0741, 167, 00 80 00 00 00 1A 7F 00
  0.0741, 077, 00 00 07 FF 00 07 E5 FA
  0.0762, 07D, 00 00 FD 20 00 1F F8 00
  0.0762, 213, FF FF 00 0C 01 11 FF 41
  0.0763, 214, 6F 66 00 00 00 00 28 20
  0.0763, 082, 8D 00 14 40 7C 00 60 FF
  0.0783, 085, 7E B9 00 00 FD 50 7E 48
  0.0783, 216, 96 E0 55 E5 AA 00 00 00
  0.0783, 217, 00 00 00 00 00 00 00 00
  0.0783, 4B0, C9 00 00 00 20 00 00 FD
  0.0784, 3D4, FF C1 FE FF DF E0 00 00
  0.0830, 165, 10 C0 00 00 00 00 00 00
  0.0831, 047, 04 F0 ED F5 64 AF 00 00
  0.0831, 167, 00 80 00 00 00 1A 7F 00
  0.0831, 200, 00 00 80 1A 80 1A 00 00
  0.0927, 202, 04 F5 38 00 60 00 00 00
  0.0928, 204, C0 00 7D 00 00 00 00 00
  0.0928, 230, 00 00 00 00 8B 00 00 00
  0.0928, 415, 00 00 CC F9 8F FE 0F FE
  0.0930, 085, 7E B9 00 00 FC 60 7E 48
  0.0930, 5B2, B2 00 FF FF FF FF FF FF
  0.0930, 217, 00 00 00 00 00 00 00 00
  0.0941, 41D, 00 00 E0 00 00 00 00 00
  0.0941, 041, 00 00 00 00 00 00 00 00
  0.0944, 186, 14 04 02 26 81 F7 00 00
  0.0944, 091, 7E F7 7F 3F BD 09 F0 00
  0.0945, 3A3, 80 00 00 00 00 00 00 00
  0.0945, 083, 00 E0 80 00 00 02 00 00
  0.0945, 263, D0 00 FF FD 01 E8 00 00
  0.0945, 37B, 00 00 00 00 00 00 00 00
  0.0945, 430, 03 02 F3 09 8C 01 33 91
  0.0945, 167, 00 80 00 00 00 1A 7F 00
  0.0945, 171, A5 00 A0 00 00 00 00 00
  0.0946, 204, C0 00 7D 00 00 00 00 00
  0.0946, 42F, 00 00 00 00 00 00 00 00
  0.0946, 077, 00 00 08 01 00 07 E9 FA
  0.0950, 07D, 00 00 FC 30 00 1F E7 FE
  0.0951, 213, FF FF 00 0C 01 11 FF 41
  0.0951, 082, 8E 00 14 40 7C 00 60 FF
  0.0970, 085, 7E B9 00 00 FB 70 7E 48
  0.0970, 214, 6F 66 00 00 00 00 27 30
  0.0972, 216, 96 E0 55 E5 AA 00 00 00
