# TIMESTAMP, CAN_ID, DATA_BYTES
  0.0426, 424, 00 00 00 01 00 00 00 00
  0.0427, 082, 80 00 14 40 7B 00 60 FF
  0.0427, 085, 7E B8 00 00 02 10 7E 48
  0.0427, 42D, 00 02 DB 00 00 00 20 00
  0.0427, 43D, 10 00 00 00 00 00 00 00
  0.0427, 43E, 00 37 10 8C 95 40 48 00
  0.0440, 186, 14 04 02 26 81 F7 00 00
  0.0482, 217, 00 00 00 00 00 00 00 00
  0.0567, 415, 00 00 C4 FB 8F FE 0F FE
  0.0568, 41D, 00 00 E0 00 00 00 00 00
  0.0570, 4B0, F7 00 00 00 10 00 00 FE
  0.0580, 204, C0 00 7D 00 00 00 00 00
  0.0620, 167, 00 80 00 00 00 1A 82 00
  0.0641, 041, 00 00 00 00 00 00 00 00
  0.0641, 242, 01 7F 1F 7E C2 00 00 01
  0.0642, 085, 7E B8 00 00 01 20 7E 48
  0.0666, 3D4, FF C1 FE FF DF E0 00 00
  0.0763, 077, 00 00 08 00 00 07 E5 F9
  0.0763, 07D, 00 00 FE 10 00 20 08 01
  0.0763, 213, FF FF 00 0C 01 11 FF 41
  0.0763, 214, 6F 66 00 00 00 00 29 10
  0.0763, 216, 96 E0 55 E5 AA 00 00 00
  0.0763, 217, 00 00 00 00 00 00 00 00
  0.0763, 165, 10 C0 00 00 00 00 00 00
  0.0781, 167, 00 80 00 00 00 1A 82 00
  0.0781, 171, A5 00 A0 00 00 00 00 00
  0.0781, 200, 00 00 80 1B 80 1B 00 00
  0.0781, 202, 04 F6 30 00 60 00 00 00
  0.0781, 204, C0 00 7D 00 00 00 00 00
  0.0781, 230, 00 00 00 00 89 00 00 00
  0.0781, 42F, 00 00 00 00 00 00 00 00
  0.0804, 091, 7F 01 7F 49 49 68 F0 00
  0.0804, 082, 80 00 14 40 7B 00 60 FF
  0.0804, 085, 7E B8 00 00 00 30 7E 48
  0.0918, 186, 14 04 02 26 81 F7 00 00
  0.0918, 217, 00 00 00 00 00 00 00 00
  0.0919, 415, 00 00 C8 FA 8F FE 0F FE
  0.0919, 41D, 00 00 E0 00 00 00 00 00
  0.0919, 4B0, F7 00 00 00 20 00 00 FD
  0.0919, 204, C0 00 7D 00 00 00 00 00
  0.0919, 167, 00 80 00 00 00 1A 82 00
  0.0920, 041, 00 00 00 00 00 00 00 00
  0.0920, 42B, CB BE 80 00 00 00 00 00
  0.0920, 42C, 84 02 00 00 90 20 00 00
  0.0920, 085, 7E B8 00 00 FF 40 7E 48
  0.1154, 077, 00 00 07 FF 00 07 E5 F9
  0.1239, 07D, 00 00 FD 20 00 20 08 03
  0.1239, 213, FF FF 00 0C 01 11 FF 41
  0.1240, 214, 6F 66 00 00 00 00 28 20
  0.1240, 216, 96 E0 55 E5 AA 00 00 00
  0.1240, 217, 00 00 00 00 00 00 00 00
  0.1240, 165, 10 C0 00 00 00 00 00 00
  0.1240, 167, 00 80 00 00 00 1A 82 00
  0.1241, 200, 00 00 80 1B 80 1B 00 00
  0.1241, 202, 04 F4 40 00 60 00 00 00
  0.1242, 204, C0 00 7D 00 00 00 00 00
  0.1242, 230, 00 00 00 00 89 00 00 00
  0.1242, 326, 01 A0 02 B0 81 D0 00 00
  0.1266, 082, 80 00 14 40 7B 00 60 FF
  0.1266, 085, 7E B8 00 00 FE 50 7E 48
  0.1307, 186, 14 04 02 26 81 F7 00 00
  0.1307, 091, 7F 08 7F 4F 2D 77 F0 00
  0.1307, 217, 00 00 00 00 00 00 00 00
  0.1307, 3D4, FF C1 FE FF DF E0 00 00
  0.1308, 415, 00 00 CC F9 8F FE 0F FE
  0.1308, 333, 00 1C 00 00 00 00 00 00
  0.1308, 41D, 00 00 E0 00 00 00 00 00
  0.1308, 4B0, F7 00 00 00 30 00 00 FC
  0.1394, 204, C0 00 7D 00 00 00 00 00
  0.1394, 167, 00 80 00 00 00 1A 82 00
  0.1394, 171, A5 00 A0 00 00 00 00 00
  0.1394, 42F, 00 00 00 00 00 00 00 00
  0.1394, 43D, 10 00 00 00 00 00 00 00
  0.1395, 041, 00 00 00 00 00 00 00 00
  0.1395, 242, 01 7F 1F 7E C2 00 00 01
  0.1395, 3A3, 80 00 00 00 00 00 00 00
  0.1395, 43E, 00 37 10 8C 95 40 48 00
  0.1395, 085, 7E B8 00 00 FD 60 7E 48
  0.1395, 263, D0 00 FF FD 01 E8 00 00
  0.1396, 083, 00 E0 80 00 00 02 00 00
  0.1396, 2F1, 00 00 11 00 00 00 40 C8
  0.1398, 37B, 00 00 00 00 00 00 00 00
  0.1398, 386, 00 00 00 00 00 00 00 00
  0.1398, 430, 03 02 F3 09 8C 01 33 91
  0.1398, 439, BB 11 00 18 00 01 00 03
  0.1398, 43A, 00 5C 00 00 00 00 00 00
  0.1418, 077, 00 00 08 01 00 07 E9 F9
  0.1418, 07D, 00 00 FC 30 00 1F D8 05
